file,tags,secondary
91.png,['Danger Circle'],
92.png,"['Platform', 'Light Flare']",light flare
93.png,"['Light Flare', 'Conical Buoy', 'Yellow']",light flare
94.png,"['Conical Buoy', 'Yellow', 'Light Flare']",light flare
95.png,"['Lighted Beacon', 'Light Flare', 'Can topmark', 'Radar Reflector']",can topmark
96.png,"['Lighted Beacon', 'Light Flare', 'Cone topmark', 'Radar Reflector']",cone topmark
97.png,"['Lattice Beacon', 'Radar Reflector']",radar reflector
98.png,['Lattice Beacon'],
99.png,['Foul Ground'],
100.png,['Foul Ground'],
101.png,['Foul Ground'],
102.png,['Foul Ground'],
103.png,['Foul Ground'],
104.png,"['Dangerous Wreck, Depth Unknown']",
105.png,['Danger Circle'],
106.png,['Isolated danger beacon on a paper chart'],
107.png,['Isolated danger beacon on a paper chart'],
108.png,['Isolated danger beacon on a paper chart'],
109.png,['Major Light'],
110.png,['Major Light'],
111.png,"['Green', 'Conical Buoy', 'Cone topmark']",cone topmark
112.png,"['Green', 'Conical Buoy', 'Cone topmark']",cone topmark
113.png,"['Green', 'Conical Buoy', 'Cone topmark']",cone topmark
114.png,"['Cone topmark', 'Conical Buoy', 'Green']",cone topmark
115.png,['Major Light'],
116.png,['Major Light'],
117.png,"['Green', 'Conical Buoy', 'Cone topmark']",cone topmark
118.png,"['Green', 'Conical Buoy', 'Cone topmark']",cone topmark
119.png,['Fishery Zone'],
120.png,['Fishery Zone'],
121.png,['Fishery Zone'],
122.png,['Fishery Zone'],
123.png,['Fishery Zone'],
124.png,['Fish Haven'],
125.png,['Fish Haven'],
126.png,['Fish Haven'],
127.png,['Fish Haven'],
128.png,['Fishery Zone'],
129.png,['Fishery Zone'],
130.png,['Fishery Zone'],
131.png,['Fishery Zone'],
132.png,['Fishery Zone'],
133.png,['Fish Haven'],
134.png,['Fish Haven'],
135.png,['Fish Haven'],
136.png,['Fish Haven'],
137.png,['Danger Circle'],
138.png,['Danger Circle'],
139.png,['Danger Circle'],
140.png,['Danger Circle'],
141.png,"['Light Flare', 'Lattice Beacon']",light flare
142.png,"['Light Flare', 'Red', 'Can Buoy', 'Can topmark']",can topmark
143.png,"['Light Flare', 'Green', 'Cone topmark', 'Conical Buoy']",cone topmark
144.png,"['Light Flare', 'Lattice Beacon']",light flare
145.png,"['Light Flare', 'Lattice Beacon']",light flare
146.png,['Underwater Hazard'],
147.png,['Underwater Hazard'],
148.png,['Tidal Stream Data Position ”B”'],
149.png,['Tidal Stream Data Position ”B”'],
150.png,['Tidal Stream Data Position “C”'],
151.png,"['Dangerous Wreck, Depth Unknown']",
152.png,"['Dangerous Wreck, Depth Unknown']",
153.png,"['Dangerous Wreck, Depth Unknown']",
154.png,"['Dangerous Wreck, Depth Unknown']",
155.png,"['Dangerous Wreck, Depth Unknown']",
156.png,"['Dangerous Wreck, Depth Unknown']",
157.png,"['Dangerous Wreck, Depth Unknown']",
158.png,"['Dangerous Wreck, Depth Unknown']",
159.png,"['Dangerous Wreck, Depth Unknown']",
160.png,"['Dangerous Wreck, Depth Unknown']",
161.png,['Stranded Wreck'],
162.png,['Stranded Wreck'],
163.png,['Stranded Wreck'],
164.png,"['Prohibited Area Boundary', 'Area Where Anchoring is Prohibited', 'Fishing Prohibited Area']",area where anchoring is prohibited
165.png,"['Prohibited Area Boundary', 'Fishing Prohibited Area', 'Area Where Anchoring is Prohibited']",area where anchoring is prohibited
166.png,"['Fishing Prohibited Area', 'Area Where Anchoring is Prohibited', 'Prohibited Area Boundary']",area where anchoring is prohibited
167.png,"['Fishing Prohibited Area', 'Area Where Anchoring is Prohibited', 'Prohibited Area Boundary']",area where anchoring is prohibited
168.png,"['Prohibited Area Boundary', 'Area Where Anchoring is Prohibited', 'Fishing Prohibited Area']",area where anchoring is prohibited
169.png,['Stranded Wreck'],
170.png,['Major Light'],
171.png,['Major Light'],
172.png,['Masts'],
173.png,['Masts'],
174.png,"['Light Flare', 'Conical Buoy', 'Radar Reflector', 'Orange']",light flare
175.png,"['Conical Buoy', 'Radar Reflector', 'Light Flare', 'Orange']",light flare
176.png,"['Lighted Beacon', 'Light Flare']",light flare
177.png,"['Can Buoy', 'Red', 'Light Flare', 'Can topmark']",can topmark
178.png,"['Light Flare', 'Yellow', 'Lighted Beacon', '“X” topmark']",light flare
179.png,"['Lighted Beacon', 'Yellow', '“X” topmark']",
180.png,"['Lighted Beacon', 'Yellow', '“X” topmark']",
181.png,['Danger Circle'],
182.png,['Underwater Hazard'],
183.png,"['Light Flare', 'Lattice Beacon']",light flare
184.png,"['Conical Buoy', 'Cone topmark']",cone topmark
185.png,"[None, 'Cone topmark']",cone topmark
186.png,"['Can Buoy', 'Can topmark']",can topmark
187.png,"['Light Flare', 'Lattice Beacon']",light flare
188.png,['Fishery Zone'],
189.png,['Fish Haven'],
190.png,['Fishery Zone'],
191.png,['Fish Haven'],
192.png,"['Radar Reflector', 'Pillar Buoy', 'Light Flare', 'Seabed']",light flare
193.png,"['Light Flare', 'Pillar Buoy', 'Radar Reflector', 'Blue Under Yellow']",light flare
194.png,['Stranded Wreck'],
195.png,['Stranded Wreck'],
196.png,['Stranded Wreck'],
197.png,['Stranded Wreck'],
198.png,"['Dangerous Wreck, Depth Unknown']",
199.png,"['Danger Circle', 'Dangerous Wreck, Depth Unknown', 'Swept by Wire Drag or Diver']",
200.png,['Position Circle'],
201.png,"['Dangerous Wreck, Depth Unknown']",
202.png,"['Danger Circle', 'Swept by Wire Drag or Diver', 'Dangerous Wreck, Depth Unknown']",
203.png,['Position Circle'],
204.png,"['Dangerous Wreck, Depth Unknown']",
205.png,['Beacon'],
206.png,"['Red', 'Beacon']",
207.png,"['Beacon', 'Red']",
208.png,"['Beacon', 'Green']",
209.png,"['Beacon', 'Red']",
210.png,"['Pillar Buoy', 'Red']",
211.png,"['Conical Buoy', 'Green']",
212.png,"['Red', 'Pillar Buoy']",
213.png,"['Green', 'Conical Buoy']",
214.png,['Danger Circle'],
215.png,"['Light Flare', 'Minor Light']",light flare
216.png,['Masts'],
217.png,['Danger Circle'],
218.png,['Danger Circle'],
219.png,"['Light Flare', 'Beacon', 'Can topmark']",can topmark
220.png,"['Lighted Beacon', 'Can topmark', 'Light Flare']",can topmark
221.png,['Stranded Wreck'],
222.png,"['Light Flare', 'Lighted Beacon', 'Radar Reflector']",light flare
223.png,"['Lighted Beacon', 'Double ball topmark', 'Light Flare', 'Radar Reflector']",ball topmark
224.png,"[None, 'Lighted Beacon', 'Double ball topmark', 'Radar Reflector']",ball topmark
225.png,"['Light Flare', 'Lighted Beacon', 'Radar Reflector']",light flare
226.png,"['Light Flare', None, '“X” topmark', 'Radar Reflector']",light flare
227.png,"['Lighted Beacon', 'Light Flare', 'Radar Reflector', None]",light flare
228.png,['Stranded Wreck'],
229.png,"['Red', 'Danger Circle']",
230.png,"['Green', 'Conical Buoy']",
231.png,"['Green', 'Conical Buoy']",
232.png,"['Green', 'Beacon', 'Cone topmark', 'Can Buoy', 'Conical Buoy']",cone topmark
233.png,"['Green', 'Red', 'Mooring Buoy', 'Spar Buoy', 'Cone topmark', 'Can Buoy', 'Conical Buoy']",cone topmark
234.png,"['Major Light', 'Light Flare']",light flare
235.png,['Beacon'],
236.png,"['Dangerous Wreck, Depth Unknown']",
237.png,['Danger Circle'],
238.png,['Danger Circle'],
239.png,"['Danger Circle', 'Dangerous Wreck, Depth Unknown', 'Rock']",
240.png,['Underwater Hazard'],
241.png,['Danger Circle'],
242.png,['Danger Circle'],
243.png,['Danger Circle'],
244.png,['Danger Circle'],
245.png,['Danger Circle'],
246.png,['Danger Circle'],
247.png,['Danger Circle'],
248.png,['Underwater Hazard'],
249.png,['Underwater Hazard'],
250.png,['Underwater Wreck of Unknown Depth and for Which Safe Clearance Cannot Be Estimated'],
251.png,['Danger Circle'],
252.png,['Danger Circle'],
253.png,"['Lattice Beacon', 'Light Flare']",light flare
254.png,"['Light Flare', 'Lighted Beacon', 'Cone topmark']",cone topmark
255.png,"['Light Flare', 'Lighted Beacon', 'Cone topmark']",cone topmark
256.png,"['Light Flare', 'Pillar Buoy', 'Cone topmark']",cone topmark
257.png,"['Light Flare', 'Lighted Beacon', 'Downwards Pointing Black Triangle Topmark']",light flare
258.png,"['Light Flare', 'Lattice Beacon']",light flare
259.png,"[None, 'Lattice Beacon', 'Can topmark']",can topmark
260.png,"['Light Flare', 'Lighted Beacon', 'Double ball topmark']",ball topmark
261.png,"['Position Circle', 'Yellow', 'Spherical Buoy', 'Lighted Beacon', 'Cone topmark', 'Green/Red/Green']",cone topmark
262.png,"['Lighted Beacon', 'Cone topmark', 'Green/Red/Green']",cone topmark
263.png,"['Black/Red/Black', 'Double ball topmark', 'Pillar Buoy']",ball topmark
265.png,"['Red', 'Can Buoy', 'Can topmark']",can topmark
266.png,"['Light Flare', 'Platform']",light flare
267.png,"['Light Flare', 'Platform', 'Danger Circle']",light flare
268.png,['Danger Circle'],
269.png,"['Red', 'Pillar Buoy']",
270.png,"['Green', 'Lighted Beacon', 'Cone topmark', 'Red', 'Lighted Beacon', 'Can topmark']",can topmark
271.png,['Platform'],
272.png,['Platform'],
273.png,"['Platform', 'Platform']",
274.png,['Platform'],
275.png,['Platform'],
276.png,[None],
277.png,[None],
278.png,['Platform'],
279.png,"['Pillar Buoy', 'Ball topmark', 'Red/White', 'Major Light']",ball topmark
280.png,['Beacon'],
281.png,['Major Light'],
282.png,['Beacon'],
283.png,"['Red/White', 'Pillar Buoy', 'Ball topmark']",ball topmark
284.png,"['Beacon', 'Major Light']",
285.png,"['Pillar Buoy', 'Black/Red/Black', 'Double ball topmark', 'Dangerous Wreck, Depth Unknown']",ball topmark
286.png,['Rock'],
287.png,['Danger Circle'],
288.png,"['Cone topmark', 'Conical Buoy', 'Radar Reflector']",cone topmark
289.png,"['Can Buoy', 'Can topmark', 'Radar Reflector']",can topmark
290.png,"['Can topmark', 'Radar Reflector', 'Can Buoy']",can topmark
291.png,"['Pillar Buoy', 'Double ball topmark']",ball topmark
292.png,"['Light Flare', 'Pillar Buoy', 'Ball topmark']",ball topmark
293.png,"['Double cone topmark points together', 'Light Flare', 'Pillar Buoy']",cone topmark
294.png,"['Dangerous Wreck, Depth Unknown']",
295.png,"['Dangerous Wreck, Depth Unknown']",
296.png,"['Light Flare', 'Pillar Buoy', 'Can topmark']",can topmark
297.png,"['Light Flare', 'Pillar Buoy', 'Cone topmark']",cone topmark
298.png,"['Light Flare', 'Pillar Buoy', 'Ball topmark', 'Radar Reflector']",ball topmark
299.png,"['Light Flare', 'Conical Buoy', '“X” topmark']",light flare
300.png,"['Light Flare', 'Conical Buoy', 'Cone topmark']",cone topmark
301.png,['Pilot Station'],
302.png,"['Can Buoy', 'Yellow']",
303.png,"['Yellow', 'Can Buoy']",
304.png,"['Light Flare', 'Red', 'Pillar Buoy', 'Can topmark']",can topmark
305.png,"['Yellow', 'Pillar Buoy']",
306.png,"['Yellow', 'Pillar Buoy']",
307.png,"['Green', 'Conical Buoy', 'Light Flare']",light flare
308.png,['Reported Anchorage'],
309.png,"['Green', 'Pillar Buoy', 'Green', 'Pillar Buoy', 'Light Flare', 'Green', 'Pillar Buoy', 'Pillar Buoy', 'Reported Anchorage']",light flare
310.png,"['Green', 'Conical Buoy', 'Reported Anchorage']",
311.png,['Reported Anchorage'],
312.png,"['Moored Storage Tanker', 'Light Flare']",light flare
313.png,"['Dangerous Wreck, Depth Unknown']",
314.png,"['Danger Circle', None]",
315.png,['Danger Circle'],
316.png,['Submarine Cable'],
317.png,['Submarine Cable'],
318.png,['Submarine Cable'],
319.png,['Submarine Cable'],
320.png,"['Reported Anchorage', 'Pilot Station']",
321.png,"['Reported Anchorage', 'Pilot Station']",
322.png,['Platform'],
323.png,"['Dangerous Wreck, Depth Unknown', 'Dangerous Wreck, Depth Unknown']",
324.png,"['Dangerous Wreck, Depth Unknown', 'Platform']",
325.png,"['Dangerous Wreck, Depth Unknown']",
326.png,['Underwater Wreck of Unknown Depth and for Which Safe Clearance Cannot Be Estimated'],
327.png,"['Dangerous Wreck, Depth Unknown', 'Platform']",
328.png,"['Dangerous Wreck, Depth Unknown']",
329.png,['Underwater Wreck of Unknown Depth and for Which Safe Clearance Cannot Be Estimated'],
330.png,"['Dangerous Wreck, Depth Unknown']",
331.png,['Platform'],
332.png,"['Dangerous Wreck, Depth Unknown']",
333.png,['Mooring Buoy'],
334.png,"['Light Flare', 'Red', 'Can Buoy']",light flare
335.png,"['Light Flare', 'Red', 'Can Buoy', 'Pillar Buoy', 'Light Flare']",light flare
336.png,['Barrel Buoy'],
337.png,"['Can Buoy', 'Light Flare', 'Red']",light flare
338.png,"['Light Flare', 'Red', 'Can Buoy']",light flare
339.png,"['Light Flare', 'Conical Buoy']",light flare
340.png,['Mooring Buoy'],
341.png,"['Light Flare', 'Red', 'Can Buoy']",light flare
342.png,"['Light Flare', 'Can Buoy', 'Red']",light flare
343.png,"['Black', 'White', 'Light Flare', 'Conical buoy with black-white-black pattern']",light flare
344.png,"['Dangerous Wreck, Depth Unknown', 'Underwater Hazard', 'Underwater Wreck of Unknown Depth and for Which Safe Clearance Cannot Be Estimated']",
345.png,"['Dangerous Wreck, Depth Unknown', 'Underwater Hazard', 'Underwater Wreck of Unknown Depth and for Which Safe Clearance Cannot Be Estimated']",
346.png,"['Light Flare', 'Platform']",light flare
347.png,"['Double cone topmark points upwards', 'Double cone topmark bases together', 'Double cone topmark points together', 'Black/Yellow', 'Black/Yellow/Black', 'Yellow/Black/Yellow']",cone topmark
348.png,"['Conical Buoy', 'Cone topmark']",cone topmark
349.png,"['Cone topmark', 'Lighted Beacon', 'Light Flare']",cone topmark
350.png,"['Lighted Beacon', 'Cone topmark']",cone topmark
351.png,"['Dangerous Wreck, Depth Unknown']",
352.png,['Underwater Hazard'],
353.png,['Danger Circle'],
354.png,"['Conical Buoy', 'Green', 'Light Flare']",light flare
355.png,"['Green', 'Light Flare', 'Conical Buoy']",light flare
356.png,"['Green', 'Light Flare', 'Conical Buoy']",light flare
357.png,['Beacon'],
358.png,['Fishery Zone'],
359.png,['Fishery Zone'],
360.png,['Fishery Zone'],
361.png,['Fishery Zone'],
362.png,[None],
363.png,['Platform'],
364.png,"['Yellow', 'Spherical Buoy']",
365.png,"['Light Flare', None]",light flare
366.png,[None],
367.png,['Submarine Pipeline'],
368.png,['Submarine Pipeline'],
369.png,[None],
370.png,['Platform'],
371.png,['Platform'],
372.png,"['Light Flare', 'Pillar Buoy', 'Double cone topmark bases together', 'Radar Reflector']",cone topmark
373.png,"['Light Flare', 'Major Light']",light flare
374.png,['Danger Circle'],
375.png,"['Light Flare', 'Radar Reflector', 'Can Buoy', 'Can topmark']",can topmark
376.png,"['Light Flare', 'Radar Reflector', 'Can topmark', 'Can Buoy']",can topmark
377.png,"['Light Flare', 'Conical Buoy', 'Cone topmark', 'Radar Reflector']",cone topmark
378.png,"['Yellow', 'Spherical Buoy']",
379.png,['Submarine Pipeline'],
380.png,['Submarine Pipeline'],
381.png,['Submarine Pipeline'],
382.png,['Submarine Pipeline'],
383.png,['Submarine Pipeline'],
384.png,['Submarine Pipeline'],
385.png,['Submarine Pipeline'],
386.png,"['Yellow', 'Spherical Buoy']",
387.png,['Underwater Hazard'],
388.png,['Danger Circle'],
389.png,['Danger Circle'],
390.png,['Danger Circle'],
391.png,"['Dangerous Wreck, Depth Unknown']",
392.png,['Danger Circle'],
393.png,"['Underwater Hazard', 'Dangerous Wreck, Depth Unknown']",
394.png,['Danger Circle'],
395.png,['Danger Circle'],
396.png,['Danger Circle'],
397.png,['Danger Circle'],
398.png,['Danger Circle'],
399.png,['Underwater Wreck of Unknown Depth and for Which Safe Clearance Cannot Be Estimated'],
400.png,['Underwater Wreck of Unknown Depth and for Which Safe Clearance Cannot Be Estimated'],
401.png,['Danger Circle'],
402.png,['Prohibited Area Boundary'],
403.png,['Prohibited Area Boundary'],
404.png,"['Light Flare', 'Pillar Buoy', 'Yellow']",light flare
405.png,"['Light Flare', 'Pillar Buoy', 'Yellow']",light flare
406.png,"['Pillar Buoy', 'Yellow', 'Light Flare', 'Position Circle']",light flare
411.png,"['Light Flare', 'Pillar Buoy', 'Yellow']",light flare
413.png,"['Position Circle', 'Pillar Buoy', 'Light Flare', 'Yellow']",light flare
415.png,"['Pillar Buoy', 'Yellow', 'Light Flare', 'Position Circle']",light flare
417.png,"['Light Flare', 'Yellow', 'Pillar Buoy']",light flare
418.png,"['Light Flare', 'Pillar Buoy', 'Yellow']",light flare
419.png,"['Position Circle', 'Yellow', 'Light Flare', 'Pillar Buoy']",light flare
424.png,"['Yellow', 'Light Flare', 'Pillar Buoy']",light flare
426.png,"['Yellow', 'Light Flare', 'Position Circle', 'Pillar Buoy']",light flare
427.png,"['Light Flare', 'Yellow', 'Position Circle']",light flare
430.png,"['Light Flare', 'Lattice Beacon', 'Cone topmark']",cone topmark
431.png,"['Lattice Beacon', 'Light Flare', 'Cone topmark']",cone topmark
432.png,"['Light Flare', 'Cone topmark', 'Conical Buoy']",cone topmark
433.png,"['Lighted Beacon', 'Cone topmark', 'Radar Reflector']",cone topmark
434.png,['Lattice Beacon'],
435.png,['Lighted Beacon'],
436.png,"['Red', None, 'Double ball topmark']",ball topmark
437.png,['Danger Circle'],
438.png,"['Light Flare', 'Platform']",light flare
439.png,"['Superbuoy', 'Double ball topmark', 'Red']",ball topmark
440.png,['Underwater Hazard'],
441.png,"['Light Flare', 'Platform']",light flare
442.png,"['Light Flare', 'Platform']",light flare
443.png,"['Superbuoy', 'Double ball topmark']",ball topmark
444.png,['Danger Circle'],
445.png,"['Platform', 'Light Flare']",light flare
446.png,"['Superbuoy', 'Red', 'Double ball topmark']",ball topmark
447.png,"['Red', 'Superbuoy', 'Double ball topmark']",ball topmark
448.png,"['Red', 'Superbuoy', 'Double ball topmark']",ball topmark
449.png,"['Double ball topmark', 'Pillar Buoy', 'Black/Red/Black']",ball topmark
450.png,"['Double ball topmark', 'Pillar Buoy', 'Black/Red/Black']",ball topmark
451.png,"['Yellow', 'Conical Buoy', '“X” topmark']",
452.png,"['Yellow', '“X” topmark', 'Conical Buoy']",
453.png,"['Yellow', 'Conical Buoy', '“X” topmark']",
454.png,"['Spherical Buoy', '“X” topmark', 'Yellow']",
455.png,"['“X” topmark', 'Spherical Buoy', 'Yellow']",
456.png,"['Pillar Buoy', 'Yellow']",
457.png,"['Pillar Buoy', 'Double cone topmark bases together', 'Black/Yellow/Black']",cone topmark
458.png,"['Black/Yellow/Black', 'Pillar Buoy', 'Double cone topmark bases together']",cone topmark
459.png,"['Lattice Beacon', 'Light Flare', 'Can topmark']",can topmark
460.png,"['Light Flare', 'Lattice Beacon', 'Cone topmark']",cone topmark
461.png,"['Light Flare', 'Lattice Beacon', 'Cone topmark']",cone topmark
462.png,['Danger Circle'],
463.png,['Danger Circle'],
464.png,['Marine Farm'],
465.png,['Marine Farm'],
466.png,['Marine Farm'],
467.png,['Marine Farm'],
468.png,['Marine Farm'],
469.png,['Marine Farm'],
470.png,['Marine Farm'],
471.png,['Marine Farm'],
472.png,['Marine Farm'],
473.png,['Marine Farm'],
474.png,['Marine Farm'],
475.png,['Marine Farm'],
476.png,['Marine Farm'],
477.png,['Marine Farm'],
478.png,['Marine Farm'],
479.png,['Marine Farm'],
480.png,['Marine Farm'],
481.png,['Marine Farm'],
482.png,['Marine Farm'],
483.png,['Stranded Wreck'],
484.png,['Pilot Station'],
485.png,['Pilot Station'],
486.png,['Pilot Station'],
487.png,['Reported Anchorage'],
488.png,['Pilot Station'],
489.png,['Reported Anchorage'],
490.png,['Pilot Station'],
491.png,['Reported Anchorage'],
492.png,['Pilot Station'],
493.png,['Reported Anchorage'],
494.png,['Pilot Station'],
495.png,['Pilot Station'],
496.png,['Reported Anchorage'],
497.png,['Marine Farm'],
498.png,"['Pillar Buoy', 'Black/Yellow', 'Double cone topmark points upwards']",cone topmark
499.png,"['Pillar Buoy', 'Double cone topmark bases together', 'Yellow/Black/Yellow']",cone topmark
500.png,"['Yellow/Black', 'Pillar Buoy', 'Double cone topmark points downwards']",cone topmark
501.png,"['Black/Yellow/Black', 'Pillar Buoy', 'Double cone topmark bases together']",cone topmark
502.png,['Marine Farm'],
503.png,"['Black/Yellow', 'Pillar Buoy', 'Double cone topmark points upwards']",cone topmark
504.png,['Marine Farm'],
505.png,"['Double cone topmark points upwards', 'Pillar Buoy', 'Black/Yellow']",cone topmark
506.png,['Marine Farm'],
507.png,"['Black/Yellow', 'Pillar Buoy', 'Double cone topmark points upwards']",cone topmark
508.png,['Underwater Wreck of Unknown Depth and for Which Safe Clearance Cannot Be Estimated'],
509.png,['Underwater Wreck of Unknown Depth and for Which Safe Clearance Cannot Be Estimated'],
510.png,['Underwater Wreck of Unknown Depth and for Which Safe Clearance Cannot Be Estimated'],
511.png,['Stranded Wreck'],
512.png,['Danger Circle'],
513.png,['Danger Circle'],
514.png,['Danger Circle'],
515.png,['Danger Circle'],
516.png,"['Dangerous Wreck, Depth Unknown']",
517.png,['Pilot Station'],
518.png,['Quarantine'],quarantine
521.png,"['Pillar Buoy', 'Cone topmark', 'Green', 'Light Flare']",cone topmark
522.png,"['Dangerous Wreck, Depth Unknown']",
523.png,['Pilot Station'],
524.png,['Quarantine'],quarantine
527.png,"['Green', 'Light Flare', 'Pillar Buoy', 'Cone topmark']",cone topmark
528.png,"['Dangerous Wreck, Depth Unknown']",
529.png,['Underwater Wreck of Unknown Depth and for Which Safe Clearance Cannot Be Estimated'],
530.png,['Underwater Wreck of Unknown Depth and for Which Safe Clearance Cannot Be Estimated'],
531.png,"['Light Flare', 'Lattice Beacon', 'Can topmark']",can topmark
532.png,"['Light Flare', 'Lattice Beacon', 'Can topmark']",can topmark
533.png,"['Light Flare', 'Conical Buoy', 'Cone topmark']",cone topmark
534.png,['Starboard Hand Perch'],
535.png,"['Can Buoy', 'Can topmark', 'Light Flare']",can topmark
536.png,"['Islet', 'Dashed Line Circle']",
537.png,"['Islet', 'Dashed Line Circle']",
538.png,"['Can Buoy', 'Red']",
539.png,"['Red', 'Can Buoy']",
540.png,"['Pillar Buoy', 'Black/Red/Black']",
541.png,['Foul Ground'],
542.png,"['Dangerous Wreck, Depth Unknown']",
543.png,"['Dangerous Wreck, Depth Unknown']",
544.png,"['Dangerous Wreck, Depth Unknown']",
545.png,"['Dangerous Wreck, Depth Unknown']",
546.png,"['Dangerous Wreck, Depth Unknown']",
547.png,['Mooring Buoy'],
548.png,['Mooring Buoy'],
549.png,['Mooring Buoy'],
550.png,['Mooring Buoy'],
551.png,['Mooring Buoy'],
552.png,['Mooring Buoy'],
553.png,['Mooring Buoy'],
554.png,['Mooring Buoy'],
555.png,['Mooring Buoy'],
556.png,['Mooring Buoy'],
557.png,['Mooring Buoy'],
558.png,['Mooring Buoy'],
559.png,"['Light Flare', 'Red', 'Can topmark', 'Pillar Buoy']",can topmark
560.png,"['Light Flare', 'Red', 'Can topmark', 'Pillar Buoy']",can topmark
561.png,"['Can Buoy', 'Red', 'Light Flare']",light flare
562.png,"['Light Flare', 'Moored Storage Tanker']",light flare
563.png,"['Light Flare', 'Moored Storage Tanker']",light flare
564.png,"['Light Flare', 'Moored Storage Tanker']",light flare
565.png,"['Light Flare', 'Stranded Wreck']",light flare
566.png,"['Stranded Wreck', 'Light Flare']",light flare
567.png,['Stranded Wreck'],
568.png,['Stranded Wreck'],
569.png,"['Light Flare', 'Cone topmark', 'Lattice Beacon']",cone topmark
570.png,"['Light Flare', 'Lattice Beacon', 'Can topmark']",can topmark
571.png,"['Light Flare', 'Lattice Beacon', 'Cone topmark']",cone topmark
572.png,['Masts'],
