file,tags,tertiary
165.png,"['Prohibited Area Boundary', 'Fishing Prohibited Area', 'Area Where Anchoring is Prohibited']",area where anchoring is prohibited
166.png,"['Fishing Prohibited Area', 'Area Where Anchoring is Prohibited', 'Prohibited Area Boundary']",area where anchoring is prohibited
167.png,"['Fishing Prohibited Area', 'Area Where Anchoring is Prohibited', 'Prohibited Area Boundary']",area where anchoring is prohibited
168.png,"['Prohibited Area Boundary', 'Area Where Anchoring is Prohibited', 'Fishing Prohibited Area']",area where anchoring is prohibited
169.png,['Stranded Wreck'],
170.png,['Major Light'],
171.png,['Major Light'],
172.png,['Masts'],
173.png,['Masts'],
174.png,"['Light Flare', 'Conical Buoy', 'Radar Reflector', 'Orange']",
175.png,"['Conical Buoy', 'Radar Reflector', 'Light Flare', 'Orange']",
176.png,"['Lighted Beacon', 'Light Flare']",
177.png,"['Can Buoy', 'Red', 'Light Flare', 'Can topmark']",
178.png,"['Light Flare', 'Yellow', 'Lighted Beacon', '“X” topmark']",
179.png,"['Lighted Beacon', 'Yellow', '“X” topmark']",
180.png,"['Lighted Beacon', 'Yellow', '“X” topmark']",
181.png,['Danger Circle'],danger circle
182.png,['Underwater Hazard'],hazard
183.png,"['Light Flare', 'Lattice Beacon']",
184.png,"['Conical Buoy', 'Cone topmark']",
185.png,"[None, 'Cone topmark']",
186.png,"['Can Buoy', 'Can topmark']",
187.png,"['Light Flare', 'Lattice Beacon']",
188.png,['Fishery Zone'],fishery zone
189.png,['Fish Haven'],
190.png,['Fishery Zone'],fishery zone
191.png,['Fish Haven'],
192.png,"['Radar Reflector', 'Pillar Buoy', 'Light Flare', 'Seabed']",
193.png,"['Light Flare', 'Pillar Buoy', 'Radar Reflector', 'Blue Under Yellow']",
194.png,['Stranded Wreck'],
195.png,['Stranded Wreck'],
196.png,['Stranded Wreck'],
197.png,['Stranded Wreck'],
198.png,"['Dangerous Wreck, Depth Unknown']","dangerous wreck, depth unknown"
199.png,"['Danger Circle', 'Dangerous Wreck, Depth Unknown', 'Swept by Wire Drag or Diver']",danger circle
200.png,['Position Circle'],position circle
201.png,"['Dangerous Wreck, Depth Unknown']","dangerous wreck, depth unknown"
202.png,"['Danger Circle', 'Swept by Wire Drag or Diver', 'Dangerous Wreck, Depth Unknown']",danger circle
203.png,['Position Circle'],position circle
204.png,"['Dangerous Wreck, Depth Unknown']","dangerous wreck, depth unknown"
205.png,['Beacon'],
206.png,"['Red', 'Beacon']",
207.png,"['Beacon', 'Red']",
208.png,"['Beacon', 'Green']",
209.png,"['Beacon', 'Red']",
210.png,"['Pillar Buoy', 'Red']",
211.png,"['Conical Buoy', 'Green']",
212.png,"['Red', 'Pillar Buoy']",
213.png,"['Green', 'Conical Buoy']",
214.png,['Danger Circle'],danger circle
215.png,"['Light Flare', 'Minor Light']",minor light
216.png,['Masts'],
217.png,['Danger Circle'],danger circle
218.png,['Danger Circle'],danger circle
219.png,"['Light Flare', 'Beacon', 'Can topmark']",
220.png,"['Lighted Beacon', 'Can topmark', 'Light Flare']",
221.png,['Stranded Wreck'],
222.png,"['Light Flare', 'Lighted Beacon', 'Radar Reflector']",
223.png,"['Lighted Beacon', 'Double ball topmark', 'Light Flare', 'Radar Reflector']",
224.png,"[None, 'Lighted Beacon', 'Double ball topmark', 'Radar Reflector']",
225.png,"['Light Flare', 'Lighted Beacon', 'Radar Reflector']",
226.png,"['Light Flare', None, '“X” topmark', 'Radar Reflector']",
227.png,"['Lighted Beacon', 'Light Flare', 'Radar Reflector', None]",
228.png,['Stranded Wreck'],
229.png,"['Red', 'Danger Circle']",danger circle
230.png,"['Green', 'Conical Buoy']",
231.png,"['Green', 'Conical Buoy']",
232.png,"['Green', 'Beacon', 'Cone topmark', 'Can Buoy', 'Conical Buoy']",
233.png,"['Green', 'Red', 'Mooring Buoy', 'Spar Buoy', 'Cone topmark', 'Can Buoy', 'Conical Buoy']",
234.png,"['Major Light', 'Light Flare']",
235.png,['Beacon'],
236.png,"['Dangerous Wreck, Depth Unknown']","dangerous wreck, depth unknown"
237.png,['Danger Circle'],danger circle
238.png,['Danger Circle'],danger circle
239.png,"['Danger Circle', 'Dangerous Wreck, Depth Unknown', 'Rock']",danger circle
240.png,['Underwater Hazard'],hazard
241.png,['Danger Circle'],danger circle
242.png,['Danger Circle'],danger circle
243.png,['Danger Circle'],danger circle
244.png,['Danger Circle'],danger circle
245.png,['Danger Circle'],danger circle
246.png,['Danger Circle'],danger circle
247.png,['Danger Circle'],danger circle
248.png,['Underwater Hazard'],hazard
249.png,['Underwater Hazard'],hazard
250.png,['Underwater Wreck of Unknown Depth and for Which Safe Clearance Cannot Be Estimated'],underwater wreck of unknown depth and for which safe clearance cannot be estimated
251.png,['Danger Circle'],danger circle
252.png,['Danger Circle'],danger circle
253.png,"['Lattice Beacon', 'Light Flare']",
254.png,"['Light Flare', 'Lighted Beacon', 'Cone topmark']",
255.png,"['Light Flare', 'Lighted Beacon', 'Cone topmark']",
256.png,"['Light Flare', 'Pillar Buoy', 'Cone topmark']",
257.png,"['Light Flare', 'Lighted Beacon', 'Downwards Pointing Black Triangle Topmark']",
258.png,"['Light Flare', 'Lattice Beacon']",
259.png,"[None, 'Lattice Beacon', 'Can topmark']",
260.png,"['Light Flare', 'Lighted Beacon', 'Double ball topmark']",
261.png,"['Position Circle', 'Yellow', 'Spherical Buoy', 'Lighted Beacon', 'Cone topmark', 'Green/Red/Green']",position circle
262.png,"['Lighted Beacon', 'Cone topmark', 'Green/Red/Green']",
263.png,"['Black/Red/Black', 'Double ball topmark', 'Pillar Buoy']",
265.png,"['Red', 'Can Buoy', 'Can topmark']",
266.png,"['Light Flare', 'Platform']",platform
267.png,"['Light Flare', 'Platform', 'Danger Circle']",danger circle
268.png,['Danger Circle'],danger circle
269.png,"['Red', 'Pillar Buoy']",
270.png,"['Green', 'Lighted Beacon', 'Cone topmark', 'Red', 'Lighted Beacon', 'Can topmark']",
271.png,['Platform'],platform
272.png,['Platform'],platform
273.png,"['Platform', 'Platform']",platform
274.png,['Platform'],platform
275.png,['Platform'],platform
276.png,[None],
277.png,[None],
278.png,['Platform'],platform
279.png,"['Pillar Buoy', 'Ball topmark', 'Red/White', 'Major Light']",
280.png,['Beacon'],
281.png,['Major Light'],
282.png,['Beacon'],
283.png,"['Red/White', 'Pillar Buoy', 'Ball topmark']",
284.png,"['Beacon', 'Major Light']",
285.png,"['Pillar Buoy', 'Black/Red/Black', 'Double ball topmark', 'Dangerous Wreck, Depth Unknown']","dangerous wreck, depth unknown"
286.png,['Rock'],rock
287.png,['Danger Circle'],danger circle
288.png,"['Cone topmark', 'Conical Buoy', 'Radar Reflector']",
289.png,"['Can Buoy', 'Can topmark', 'Radar Reflector']",
290.png,"['Can topmark', 'Radar Reflector', 'Can Buoy']",
291.png,"['Pillar Buoy', 'Double ball topmark']",
292.png,"['Light Flare', 'Pillar Buoy', 'Ball topmark']",
293.png,"['Double cone topmark points together', 'Light Flare', 'Pillar Buoy']",
294.png,"['Dangerous Wreck, Depth Unknown']","dangerous wreck, depth unknown"
295.png,"['Dangerous Wreck, Depth Unknown']","dangerous wreck, depth unknown"
296.png,"['Light Flare', 'Pillar Buoy', 'Can topmark']",
297.png,"['Light Flare', 'Pillar Buoy', 'Cone topmark']",
298.png,"['Light Flare', 'Pillar Buoy', 'Ball topmark', 'Radar Reflector']",
299.png,"['Light Flare', 'Conical Buoy', '“X” topmark']",
300.png,"['Light Flare', 'Conical Buoy', 'Cone topmark']",
301.png,['Pilot Station'],pilot station
302.png,"['Can Buoy', 'Yellow']",
303.png,"['Yellow', 'Can Buoy']",
304.png,"['Light Flare', 'Red', 'Pillar Buoy', 'Can topmark']",
305.png,"['Yellow', 'Pillar Buoy']",
306.png,"['Yellow', 'Pillar Buoy']",
307.png,"['Green', 'Conical Buoy', 'Light Flare']",
308.png,['Reported Anchorage'],
309.png,"['Green', 'Pillar Buoy', 'Green', 'Pillar Buoy', 'Light Flare', 'Green', 'Pillar Buoy', 'Pillar Buoy', 'Reported Anchorage']",
310.png,"['Green', 'Conical Buoy', 'Reported Anchorage']",
311.png,['Reported Anchorage'],
312.png,"['Moored Storage Tanker', 'Light Flare']",
313.png,"['Dangerous Wreck, Depth Unknown']","dangerous wreck, depth unknown"
314.png,"['Danger Circle', None]",danger circle
315.png,['Danger Circle'],danger circle
316.png,['Submarine Cable'],
317.png,['Submarine Cable'],
318.png,['Submarine Cable'],
319.png,['Submarine Cable'],
320.png,"['Reported Anchorage', 'Pilot Station']",pilot station
321.png,"['Reported Anchorage', 'Pilot Station']",pilot station
322.png,['Platform'],platform
323.png,"['Dangerous Wreck, Depth Unknown', 'Dangerous Wreck, Depth Unknown']","dangerous wreck, depth unknown"
324.png,"['Dangerous Wreck, Depth Unknown', 'Platform']","dangerous wreck, depth unknown"
325.png,"['Dangerous Wreck, Depth Unknown']","dangerous wreck, depth unknown"
326.png,['Underwater Wreck of Unknown Depth and for Which Safe Clearance Cannot Be Estimated'],underwater wreck of unknown depth and for which safe clearance cannot be estimated
327.png,"['Dangerous Wreck, Depth Unknown', 'Platform']","dangerous wreck, depth unknown"
328.png,"['Dangerous Wreck, Depth Unknown']","dangerous wreck, depth unknown"
329.png,['Underwater Wreck of Unknown Depth and for Which Safe Clearance Cannot Be Estimated'],underwater wreck of unknown depth and for which safe clearance cannot be estimated
330.png,"['Dangerous Wreck, Depth Unknown']","dangerous wreck, depth unknown"
331.png,['Platform'],platform
332.png,"['Dangerous Wreck, Depth Unknown']","dangerous wreck, depth unknown"
333.png,['Mooring Buoy'],
334.png,"['Light Flare', 'Red', 'Can Buoy']",
335.png,"['Light Flare', 'Red', 'Can Buoy', 'Pillar Buoy', 'Light Flare']",
336.png,['Barrel Buoy'],
337.png,"['Can Buoy', 'Light Flare', 'Red']",
338.png,"['Light Flare', 'Red', 'Can Buoy']",
339.png,"['Light Flare', 'Conical Buoy']",
340.png,['Mooring Buoy'],
341.png,"['Light Flare', 'Red', 'Can Buoy']",
342.png,"['Light Flare', 'Can Buoy', 'Red']",
343.png,"['Black', 'White', 'Light Flare', 'Conical buoy with black-white-black pattern']",
344.png,"['Dangerous Wreck, Depth Unknown', 'Underwater Hazard', 'Underwater Wreck of Unknown Depth and for Which Safe Clearance Cannot Be Estimated']","dangerous wreck, depth unknown"
345.png,"['Dangerous Wreck, Depth Unknown', 'Underwater Hazard', 'Underwater Wreck of Unknown Depth and for Which Safe Clearance Cannot Be Estimated']","dangerous wreck, depth unknown"
346.png,"['Light Flare', 'Platform']",platform
347.png,"['Double cone topmark points upwards', 'Double cone topmark bases together', 'Double cone topmark points together', 'Black/Yellow', 'Black/Yellow/Black', 'Yellow/Black/Yellow']",
348.png,"['Conical Buoy', 'Cone topmark']",
349.png,"['Cone topmark', 'Lighted Beacon', 'Light Flare']",
350.png,"['Lighted Beacon', 'Cone topmark']",
351.png,"['Dangerous Wreck, Depth Unknown']","dangerous wreck, depth unknown"
352.png,['Underwater Hazard'],hazard
353.png,['Danger Circle'],danger circle
354.png,"['Conical Buoy', 'Green', 'Light Flare']",
355.png,"['Green', 'Light Flare', 'Conical Buoy']",
356.png,"['Green', 'Light Flare', 'Conical Buoy']",
357.png,['Beacon'],
358.png,['Fishery Zone'],fishery zone
359.png,['Fishery Zone'],fishery zone
360.png,['Fishery Zone'],fishery zone
361.png,['Fishery Zone'],fishery zone
362.png,[None],
363.png,['Platform'],platform
364.png,"['Yellow', 'Spherical Buoy']",
365.png,"['Light Flare', None]",
366.png,[None],
367.png,['Submarine Pipeline'],submarine pipeline
368.png,['Submarine Pipeline'],submarine pipeline
369.png,[None],
370.png,['Platform'],platform
371.png,['Platform'],platform
372.png,"['Light Flare', 'Pillar Buoy', 'Double cone topmark bases together', 'Radar Reflector']",
373.png,"['Light Flare', 'Major Light']",
374.png,['Danger Circle'],danger circle
375.png,"['Light Flare', 'Radar Reflector', 'Can Buoy', 'Can topmark']",
376.png,"['Light Flare', 'Radar Reflector', 'Can topmark', 'Can Buoy']",
377.png,"['Light Flare', 'Conical Buoy', 'Cone topmark', 'Radar Reflector']",
378.png,"['Yellow', 'Spherical Buoy']",
379.png,['Submarine Pipeline'],submarine pipeline
380.png,['Submarine Pipeline'],submarine pipeline
381.png,['Submarine Pipeline'],submarine pipeline
382.png,['Submarine Pipeline'],submarine pipeline
383.png,['Submarine Pipeline'],submarine pipeline
384.png,['Submarine Pipeline'],submarine pipeline
385.png,['Submarine Pipeline'],submarine pipeline
386.png,"['Yellow', 'Spherical Buoy']",
387.png,['Underwater Hazard'],hazard
388.png,['Danger Circle'],danger circle
389.png,['Danger Circle'],danger circle
390.png,['Danger Circle'],danger circle
391.png,"['Dangerous Wreck, Depth Unknown']","dangerous wreck, depth unknown"
392.png,['Danger Circle'],danger circle
393.png,"['Underwater Hazard', 'Dangerous Wreck, Depth Unknown']","dangerous wreck, depth unknown"
394.png,['Danger Circle'],danger circle
395.png,['Danger Circle'],danger circle
396.png,['Danger Circle'],danger circle
397.png,['Danger Circle'],danger circle
398.png,['Danger Circle'],danger circle
399.png,['Underwater Wreck of Unknown Depth and for Which Safe Clearance Cannot Be Estimated'],underwater wreck of unknown depth and for which safe clearance cannot be estimated
400.png,['Underwater Wreck of Unknown Depth and for Which Safe Clearance Cannot Be Estimated'],underwater wreck of unknown depth and for which safe clearance cannot be estimated
401.png,['Danger Circle'],danger circle
402.png,['Prohibited Area Boundary'],
403.png,['Prohibited Area Boundary'],
404.png,"['Light Flare', 'Pillar Buoy', 'Yellow']",
405.png,"['Light Flare', 'Pillar Buoy', 'Yellow']",
406.png,"['Pillar Buoy', 'Yellow', 'Light Flare', 'Position Circle']",position circle
411.png,"['Light Flare', 'Pillar Buoy', 'Yellow']",
413.png,"['Position Circle', 'Pillar Buoy', 'Light Flare', 'Yellow']",position circle
415.png,"['Pillar Buoy', 'Yellow', 'Light Flare', 'Position Circle']",position circle
417.png,"['Light Flare', 'Yellow', 'Pillar Buoy']",
418.png,"['Light Flare', 'Pillar Buoy', 'Yellow']",
419.png,"['Position Circle', 'Yellow', 'Light Flare', 'Pillar Buoy']",position circle
424.png,"['Yellow', 'Light Flare', 'Pillar Buoy']",
426.png,"['Yellow', 'Light Flare', 'Position Circle', 'Pillar Buoy']",position circle
427.png,"['Light Flare', 'Yellow', 'Position Circle']",position circle
430.png,"['Light Flare', 'Lattice Beacon', 'Cone topmark']",
431.png,"['Lattice Beacon', 'Light Flare', 'Cone topmark']",
432.png,"['Light Flare', 'Cone topmark', 'Conical Buoy']",
433.png,"['Lighted Beacon', 'Cone topmark', 'Radar Reflector']",
434.png,['Lattice Beacon'],
435.png,['Lighted Beacon'],
436.png,"['Red', None, 'Double ball topmark']",
437.png,['Danger Circle'],danger circle
438.png,"['Light Flare', 'Platform']",platform
439.png,"['Superbuoy', 'Double ball topmark', 'Red']",
440.png,['Underwater Hazard'],hazard
441.png,"['Light Flare', 'Platform']",platform
442.png,"['Light Flare', 'Platform']",platform
443.png,"['Superbuoy', 'Double ball topmark']",
444.png,['Danger Circle'],danger circle
445.png,"['Platform', 'Light Flare']",platform
446.png,"['Superbuoy', 'Red', 'Double ball topmark']",
447.png,"['Red', 'Superbuoy', 'Double ball topmark']",
448.png,"['Red', 'Superbuoy', 'Double ball topmark']",
449.png,"['Double ball topmark', 'Pillar Buoy', 'Black/Red/Black']",
450.png,"['Double ball topmark', 'Pillar Buoy', 'Black/Red/Black']",
451.png,"['Yellow', 'Conical Buoy', '“X” topmark']",
452.png,"['Yellow', '“X” topmark', 'Conical Buoy']",
453.png,"['Yellow', 'Conical Buoy', '“X” topmark']",
454.png,"['Spherical Buoy', '“X” topmark', 'Yellow']",
455.png,"['“X” topmark', 'Spherical Buoy', 'Yellow']",
456.png,"['Pillar Buoy', 'Yellow']",
457.png,"['Pillar Buoy', 'Double cone topmark bases together', 'Black/Yellow/Black']",
458.png,"['Black/Yellow/Black', 'Pillar Buoy', 'Double cone topmark bases together']",
459.png,"['Lattice Beacon', 'Light Flare', 'Can topmark']",
460.png,"['Light Flare', 'Lattice Beacon', 'Cone topmark']",
461.png,"['Light Flare', 'Lattice Beacon', 'Cone topmark']",
462.png,['Danger Circle'],danger circle
463.png,['Danger Circle'],danger circle
464.png,['Marine Farm'],marine farm
465.png,['Marine Farm'],marine farm
466.png,['Marine Farm'],marine farm
467.png,['Marine Farm'],marine farm
468.png,['Marine Farm'],marine farm
469.png,['Marine Farm'],marine farm
470.png,['Marine Farm'],marine farm
471.png,['Marine Farm'],marine farm
472.png,['Marine Farm'],marine farm
473.png,['Marine Farm'],marine farm
474.png,['Marine Farm'],marine farm
475.png,['Marine Farm'],marine farm
476.png,['Marine Farm'],marine farm
477.png,['Marine Farm'],marine farm
478.png,['Marine Farm'],marine farm
479.png,['Marine Farm'],marine farm
480.png,['Marine Farm'],marine farm
481.png,['Marine Farm'],marine farm
482.png,['Marine Farm'],marine farm
483.png,['Stranded Wreck'],
484.png,['Pilot Station'],pilot station
485.png,['Pilot Station'],pilot station
486.png,['Pilot Station'],pilot station
487.png,['Reported Anchorage'],
488.png,['Pilot Station'],pilot station
489.png,['Reported Anchorage'],
490.png,['Pilot Station'],pilot station
491.png,['Reported Anchorage'],
492.png,['Pilot Station'],pilot station
493.png,['Reported Anchorage'],
494.png,['Pilot Station'],pilot station
495.png,['Pilot Station'],pilot station
496.png,['Reported Anchorage'],
497.png,['Marine Farm'],marine farm
498.png,"['Pillar Buoy', 'Black/Yellow', 'Double cone topmark points upwards']",
499.png,"['Pillar Buoy', 'Double cone topmark bases together', 'Yellow/Black/Yellow']",
500.png,"['Yellow/Black', 'Pillar Buoy', 'Double cone topmark points downwards']",
501.png,"['Black/Yellow/Black', 'Pillar Buoy', 'Double cone topmark bases together']",
502.png,['Marine Farm'],marine farm
503.png,"['Black/Yellow', 'Pillar Buoy', 'Double cone topmark points upwards']",
504.png,['Marine Farm'],marine farm
505.png,"['Double cone topmark points upwards', 'Pillar Buoy', 'Black/Yellow']",
506.png,['Marine Farm'],marine farm
507.png,"['Black/Yellow', 'Pillar Buoy', 'Double cone topmark points upwards']",
508.png,['Underwater Wreck of Unknown Depth and for Which Safe Clearance Cannot Be Estimated'],underwater wreck of unknown depth and for which safe clearance cannot be estimated
509.png,['Underwater Wreck of Unknown Depth and for Which Safe Clearance Cannot Be Estimated'],underwater wreck of unknown depth and for which safe clearance cannot be estimated
510.png,['Underwater Wreck of Unknown Depth and for Which Safe Clearance Cannot Be Estimated'],underwater wreck of unknown depth and for which safe clearance cannot be estimated
511.png,['Stranded Wreck'],
512.png,['Danger Circle'],danger circle
513.png,['Danger Circle'],danger circle
514.png,['Danger Circle'],danger circle
515.png,['Danger Circle'],danger circle
516.png,"['Dangerous Wreck, Depth Unknown']","dangerous wreck, depth unknown"
517.png,['Pilot Station'],pilot station
518.png,['Quarantine'],quarantine
521.png,"['Pillar Buoy', 'Cone topmark', 'Green', 'Light Flare']",
522.png,"['Dangerous Wreck, Depth Unknown']","dangerous wreck, depth unknown"
523.png,['Pilot Station'],pilot station
524.png,['Quarantine'],quarantine
527.png,"['Green', 'Light Flare', 'Pillar Buoy', 'Cone topmark']",
